time,bench
0.9,938
1.3,334
1.5,253
1.8,261
2.0,259
2.3,265
2.6,249
2.8,244
3.0,236
3.3,241
3.5,232
3.8,232
4.0,221
4.2,227
4.4,217
4.6,219
4.8,211
5.1,213
5.3,199
5.5,209
5.7,194
5.9,196
6.1,194
6.3,199
6.5,196
6.6,182
6.8,182
7.0,181
7.2,180
7.4,183
7.5,182
7.7,175
7.9,181
8.1,168
8.2,154
8.4,136
8.5,145
8.6,111
8.8,123
8.9,119
9.0,118
9.1,111
9.2,125
9.3,109
9.6,250
9.7,116
10.0,235
10.1,110
10.2,128
10.3,119
10.5,112
10.6,126
10.7,106
10.8,122
10.9,123
11.1,119
11.3,239
11.6,248
11.7,132
12.0,244
12.2,249
12.3,115
12.5,124
12.6,120
12.7,118
12.8,117
12.9,120
13.1,117
13.2,114
13.4,242
13.6,148
13.8,243
14.0,115
14.1,125
14.2,118
14.3,117
14.6,241
14.7,145
14.8,117
15.0,114
15.1,125
15.2,120
15.3,117
15.4,119
15.6,116
15.8,254
15.9,112
16.2,246
16.3,117
16.4,126
16.6,120
16.7,119
16.8,115
16.9,124
17.0,119
17.2,112
17.3,119
17.5,244
17.7,118
17.8,127
17.9,120
18.2,246
18.4,241
18.5,112
18.7,131
18.8,120
18.9,110
19.0,120
19.1,127
19.3,120
19.4,119
19.6,242
19.8,142
20.0,251
20.2,116
20.3,121
20.4,123
20.5,120
20.8,244
20.9,137
21.1,120
21.2,126
21.3,118
21.4,110
21.5,122
21.7,125
21.8,123
22.0,243
22.2,117
22.4,248
22.5,119
22.7,119
22.8,120
22.9,122
23.0,114
23.1,120
23.3,125
23.4,114
23.5,119
23.7,248
23.9,116
24.0,128
24.1,118
24.2,120
24.4,114
24.6,248
24.7,124
24.9,120
25.0,120
25.1,118
25.2,120
25.3,114
25.5,126
25.6,120
25.7,109
25.8,124
25.9,117
26.1,122
26.2,120
26.3,126
26.4,112
26.5,128
26.7,119
26.8,114
26.9,126
27.0,111
27.1,122
27.3,126
27.4,120
27.5,120
27.6,120
27.7,114
27.9,126
28.1,242
28.2,118
28.5,247
28.6,124
28.8,120
28.9,120
29.0,120
29.1,114
29.2,125
29.4,120
29.5,121
29.6,113
29.8,254
30.0,123
30.1,113
30.2,126
30.3,118
30.5,120
30.7,243
30.8,118
31.0,119
31.1,128
31.2,117
31.3,116
31.4,120
31.6,126
31.7,122
31.8,120
31.9,114
32.1,126
32.2,119
32.3,120
32.4,119
32.5,112
32.7,130
32.8,120
32.9,120
33.0,120
33.1,114
33.3,126
33.4,120
33.5,120
33.6,122
33.7,119
33.9,110
34.0,130
34.2,249
34.4,115
34.6,249
34.7,117
34.9,127
35.0,119
35.1,119
35.2,112
35.3,121
35.5,121
35.6,126
35.7,119
36.0,241
36.1,119
36.2,126
36.3,119
36.4,115
36.6,118
36.7,126
36.8,120
36.9,112
37.0,122
37.2,125
37.3,119
37.4,120
37.5,114
37.7,126
37.8,120
37.9,120
38.0,112
38.1,127
38.3,120
38.4,120
38.5,119
38.6,113
38.7,127
38.9,114
39.0,119
39.1,126
39.2,118
39.3,111
39.5,122
39.6,125
39.7,120
39.8,120
39.9,119
40.1,113
40.3,247
40.4,117
40.7,243
40.8,119
40.9,115
41.1,123
41.2,119
41.3,127
41.4,116
41.5,122
41.7,114
41.8,125
41.9,120
42.0,113
42.1,120
42.3,127
42.4,118
42.5,119
42.6,121
42.7,114
42.9,126
43.0,118
43.1,120
43.2,113
43.3,126
43.4,112
43.6,120
43.7,127
43.8,118
43.9,120
44.1,120
44.2,113
44.3,125
44.4,122
44.5,119
44.7,120
44.8,108
44.9,124
45.0,127
45.1,119
45.3,120
45.4,113
45.5,126
45.6,119
45.7,119
45.9,120
46.0,110
46.1,122
46.3,249
46.5,117
46.7,247
46.9,117
47.0,125
47.1,119
47.2,120
47.3,118
47.5,118
47.6,114
47.7,121
47.8,126
47.9,118
48.1,120
48.2,113
48.3,121
48.4,125
48.5,118
48.7,121
48.8,110
48.9,120
49.0,128
49.1,120
49.3,121
49.4,119
49.5,112
49.6,127
49.7,119
49.9,113
50.0,119
50.1,119
50.2,118
50.3,130
50.5,119
50.6,112
50.7,119
50.8,117
50.9,119
51.1,123
51.2,127
51.3,120
51.4,120
51.5,108
51.7,123
51.8,123
51.9,123
52.0,120
52.1,120
52.4,242
52.5,123
52.8,241
52.9,116
53.0,126
53.1,121
53.3,120
53.4,114
53.5,125
53.6,121
53.7,115
53.9,125
54.0,119
54.1,120
54.2,117
54.3,114
54.5,128
54.6,120
54.7,119
54.8,113
55.0,126
55.1,113
55.2,119
55.3,128
55.4,119
55.6,120
55.7,110
55.8,122
55.9,126
56.0,119
56.2,120
56.3,120
56.4,113
56.5,118
56.6,127
56.7,114
56.9,120
57.0,122
57.1,123
57.2,113
57.3,119
57.5,128
57.6,121
57.7,119
57.8,120
58.0,119
58.1,120
58.2,112
58.4,245
58.6,117
58.7,125
58.8,120
58.9,118
59.1,127
59.2,107
59.3,130
59.4,115
59.5,125
59.7,114
59.8,117
59.9,121
60.0,119
60.1,120
60.3,126
60.4,121
60.5,120
60.6,119
60.7,113
60.9,126
61.0,109
61.1,121
61.2,123
61.3,123
61.5,117
61.6,126
61.7,119
61.8,119
61.9,119
