time,bench
0.5,466,
0.8,373,
1.2,375,
1.6,374,
1.9,358,
2.3,344,
2.6,340,
3.0,330,
3.3,331,
3.6,308,
3.9,293,
4.2,271,
4.5,275,
4.7,272,
5.0,260,
5.2,257,
5.5,245,
5.7,240,
6.0,237,
6.2,224,
6.4,226,
6.6,216,
6.9,208,
7.1,208,
7.3,206,
7.5,208,
7.7,205,
7.9,205,
8.1,203,
8.3,206,
8.5,179,
8.7,168,
8.8,101,
8.9,102,
8.9,70,
9.0,74,
9.1,73,
9.2,73,
9.2,73,
9.3,74,
9.4,73,
9.5,73,
9.5,72,
9.6,72,
9.7,74,
9.8,72,
9.8,74,
10.0,170,
10.1,69,
10.2,75,
10.2,72,
10.3,74,
10.4,73,
10.5,73,
10.5,73,
10.6,74,
10.7,71,
10.7,74,
10.8,74,
10.9,74,
11.0,74,
11.0,73,
11.1,73,
11.2,74,
11.3,73,
11.3,72,
11.4,76,
11.5,73,
11.6,74,
11.6,73,
11.7,73,
11.8,73,
11.9,74,
11.9,71,
12.0,75,
12.1,74,
12.2,73,
12.2,74,
12.3,74,
12.4,73,
12.5,73,
12.5,71,
12.6,76,
12.7,73,
12.8,74,
12.8,75,
13.0,172,
13.1,70,
13.2,75,
13.2,74,
13.3,73,
13.4,71,
13.5,77,
13.5,74,
13.6,73,
13.7,73,
13.8,74,
13.8,73,
13.9,73,
14.1,173,
14.2,69,
14.2,76,
14.3,71,
14.4,76,
14.5,73,
14.5,74,
14.6,73,
14.7,74,
14.8,73,
14.9,175,
15.0,71,
15.1,75,
15.2,73,
15.2,74,
15.3,73,
15.4,73,
15.5,75,
15.5,73,
15.6,74,
15.7,74,
15.8,74,
15.8,74,
15.9,74,
16.0,74,
16.2,175,
16.2,72,
16.3,76,
16.4,74,
16.5,75,
16.5,74,
16.6,75,
16.7,74,
16.8,74,
16.8,74,
16.9,75,
17.0,74,
17.1,74,
17.2,74,
17.2,75,
17.3,74,
17.4,74,
17.5,74,
17.5,71,
17.6,77,
17.7,74,
17.8,73,
17.8,76,
17.9,74,
18.0,74,
18.1,75,
18.1,73,
18.2,75,
18.3,74,
18.4,73,
18.4,76,
18.5,74,
18.6,74,
18.7,74,
18.7,74,
18.8,74,
18.9,73,
19.0,73,
19.0,76,
19.1,75,
19.2,72,
19.3,75,
19.3,75,
19.4,74,
19.5,72,
19.6,76,
19.6,74,
19.7,74,
19.8,74,
19.9,74,
19.9,74,
20.0,74,
20.1,73,
20.2,76,
20.2,74,
20.3,75,
20.4,75,
20.5,74,
20.5,74,
20.6,74,
20.7,74,
20.8,74,
20.8,73,
20.9,76,
21.0,74,
21.1,74,
21.1,74,
21.2,75,
21.3,73,
21.4,74,
21.4,74,
21.5,74,
21.6,75,
21.7,74,
21.7,71,
,,
