n,time1,time2
0,19,78
1,19,79
2,19,79
3,19,78
4,19,78
5,17,79
6,18,79
7,20,79
8,19,80
9,20,79
10,18,80
11,19,81
12,19,81
13,19,81
14,19,81
15,18,81
16,19,81
17,20,82
18,19,82
19,19,82
20,20,83
21,18,82
22,20,83
23,19,83
24,19,83
25,19,83
26,19,83
27,20,83
28,19,83
29,19,84
30,19,84
31,19,84
32,19,84
33,20,84
34,19,84
35,18,85
36,24,85
37,22,85
38,17,85
39,19,86
40,20,86
41,18,86
42,20,86
43,17,86
44,19,87
45,20,87
46,19,87
47,19,87
48,18,87
49,19,88
50,19,87
51,19,89
52,19,88
53,19,88
54,19,89
55,19,88
56,19,89
57,19,89
58,18,89
59,19,89
60,19,89
61,19,90
62,19,90
63,19,89
64,20,91
65,19,91
66,20,91
67,17,92
68,19,91
69,19,92
70,19,92
71,18,92
72,20,92
73,19,93
74,19,93
75,19,93
76,20,93
77,18,94
78,19,95
79,18,95
80,19,93
81,19,95
82,21,95
83,20,95
84,19,94
85,19,96
86,28,95
87,18,96
88,19,95
89,18,97
90,17,96
91,20,97
92,19,97
93,19,98
94,17,97
95,19,98
96,19,99
97,19,98
98,20,99
99,19,99
100,19,100
101,19,100
102,22,101
103,18,101
104,19,101
105,19,103
106,19,103
107,19,103
108,19,103
109,19,104
110,22,104
111,16,104
112,19,105
113,18,105
114,19,105
115,19,106
116,20,106
117,20,105
118,18,106
119,26,107
120,17,107
121,16,106
122,19,107
123,19,108
124,19,108
125,20,108
126,17,109
127,19,108
128,19,110
129,18,110
130,20,110
131,17,111
132,20,110
133,18,111
134,21,111
135,27,112
136,17,111
137,19,112
138,19,112
139,17,112
140,19,114
141,19,115
142,19,115
143,19,115
144,18,116
145,19,116
146,19,116
147,19,116
148,19,117
149,19,117
150,20,117
151,19,118
152,19,118
153,19,119
154,18,119
155,19,120
156,19,120
157,20,120
158,20,121
159,19,121
160,19,121
161,19,122
162,21,122
163,18,122
164,19,123
165,19,123
166,17,124
167,20,124
